location,lat,lon,type,name,osm_id
Manchester,53.4823545,-2.2567927,stop_position,Salford Central,3915972
Manchester,53.4649043,-2.2319692,pub,Kro Bar,30732192
Manchester,53.4729536,-2.2397502,platform,"Manchester City Centre, Oxford Road / Chester Street (Stop C)",30969024
Manchester,53.4701576,-2.2368846,bar,The Grosvenor,30969134
Manchester,53.473628,-2.2404225,bar,Revolution,30969136
Manchester,53.4742484,-2.23742,bar,Joshua Brooks,30969137
Manchester,53.4878748,-2.2415514,stop_position,Victoria,32585982
Manchester,53.4770813,-2.2306321,stop_position,Manchester Piccadilly,38893286
Manchester,53.4768943,-2.2309053,stop_position,Manchester Piccadilly,38893290
Manchester,53.4775939,-2.2302859,stop_position,Manchester Piccadilly,38893293
Manchester,53.4706825,-2.2359568,pub,Sandbar,247269405
Manchester,53.4819132,-2.2389248,stop_position,Market Street,247394029
Manchester,53.4909494,-2.2593616,pet,Oasis - Aquarium Supplies,248631420
Manchester,53.4671454,-2.2391457,restaurant,Peace Garden,249083228
Manchester,53.4671257,-2.2392921,pharmacy,Faith Pharmacy,249243732
Manchester,53.467012,-2.2397275,clinic,Cornbrook Medical Centre,249243733
Manchester,53.4705235,-2.2364887,pub,The Flour and Flagon,249501676
Manchester,53.4763399,-2.2539903,pub,Oxnoble,249515967
Manchester,53.4808615,-2.2477797,cafe,Katsouris Deli,249517666
Manchester,53.4761318,-2.2510278,restaurant,Dimitri's,249518315
Manchester,53.4659675,-2.2380157,platform,"Chorlton upon Medlock, Higher Cambridge Street / outside Dental Hosp",255685653
Manchester,53.4644321,-2.235482,library,"Main Library, University of Manchester",258864502
Manchester,53.4720297,-2.2383937,convenience,Tesco Express,258870276
Manchester,53.4801096,-2.2447869,restaurant,Armenian Taverna,258871622
Manchester,53.4674709,-2.2491538,pharmacy,Manor Pharmacy,259173957
Manchester,53.4754007,-2.2351807,telephone,Unknown,290428117
Manchester,53.4777123,-2.2401028,pub,The Old Monkey,292093177
Manchester,53.4810638,-2.2175522,tennis courts,Unknown,292286682
Manchester,53.4847368,-2.2490709,post_box,Unknown,293147898
Manchester,53.4749737,-2.2375899,bar,Fifth Nightclub,293617257
Manchester,53.4848144,-2.232433,pub,The Crown & Kettle,303811097
Manchester,53.4698967,-2.2275534,playground,Unknown,304020170
Manchester,53.469817,-2.2241088,pharmacy,Everest Pharmacy,304020276
Manchester,53.4679085,-2.2301411,platform,"Brunswick, Upper Brook Street / near Brunswick Street",304020353
Manchester,53.4786761,-2.226537,post_box,Unknown,307410756
Manchester,53.4802859,-2.2279276,post_box,Unknown,307423864
Manchester,53.4692966,-2.2215955,pub,Apsley Cottage,307535172
Manchester,53.4882145,-2.232339,pub,Marble Arch Inn,307642219
Manchester,53.4983296,-2.2475687,post_box,Unknown,307680188
Manchester,53.4738401,-2.2578051,post_box,Unknown,307735085
Manchester,53.472949,-2.2486153,post_box,Unknown,307746037
Manchester,53.4764175,-2.2569673,fitness_centre,Y Club,307748177
Manchester,53.4868543,-2.228917,supermarket,Wing Yip Superstore,307753149
Manchester,53.4869787,-2.22849,restaurant,Glamorous Chinese Restaurant,307753159
Manchester,53.481122,-2.231494,pub,Lammars,307754335
Manchester,53.476409,-2.2496636,cinema,ODEON Manchester Great Northern,307874659
Manchester,53.4770711,-2.2487394,casino,Manchester 235,307874710
Manchester,53.4819086,-2.2322038,pub,Crown & Anchor,307968585
Manchester,53.4744675,-2.2508513,post_box,Unknown,307985445
Manchester,53.4772029,-2.2376739,nightclub,Napoleons,307987237
Manchester,53.4774432,-2.2373016,pub,The Goose,307987238
Manchester,53.4780332,-2.2365411,post_box,Unknown,307987239
Manchester,53.4817005,-2.2320104,fast_food,Williams Sandwich Bar,308099749
Manchester,53.4795818,-2.2339421,pub,The Waldorf,308128518
Manchester,53.4853915,-2.2344242,pub,The Smithfield Market Tavern,308375621
Manchester,53.4853483,-2.2343246,pub,The Rose & Monkey Hotel,308375623
Manchester,53.483457,-2.2347213,pub,The Northern,308375649
Manchester,53.4870025,-2.2268218,post_box,Unknown,308390034
Manchester,53.4926246,-2.2252358,clinic,Rochdale Road Surgery,308524121
Manchester,53.4884938,-2.2316693,parking,Unknown,308525630
Manchester,53.4769808,-2.2407899,restaurant,Buffet City,308849933
Manchester,53.4740832,-2.236901,restaurant,East Z East,309204581
Manchester,53.4778701,-2.2398349,pub,Grey Horse,309451656
Manchester,53.477817,-2.2308829,fast_food,Burger King,315267693
Manchester,53.4971281,-2.2369523,supermarket,M&S Foodhall,321854977
Manchester,53.47625,-2.249728,fitness_centre,Lifestyle Fitness,324566976
Manchester,53.4787806,-2.2491324,restaurant,Topkapi Palace,324660927
Manchester,53.4794691,-2.2486947,cafe,Caffè Nero,324661012
Manchester,53.4795546,-2.2486502,bookmaker,Betfred,324661232
Manchester,53.4796409,-2.2485926,sports,Up & Running,324661252
Manchester,53.479748,-2.2481949,cafe,Starbucks,324661296
Manchester,53.4810356,-2.2476813,restaurant,La Vina,324663550
Manchester,53.482087,-2.2469459,fast_food,Veggie Pret,324664468
Manchester,53.4823445,-2.2467799,fast_food,Subway,324664772
Manchester,53.4823983,-2.2467529,hairdresser,Rush Hair,324665112
Manchester,53.4824448,-2.2467245,cafe,Caffè Nero,324665188
Manchester,53.4826374,-2.2464687,kitchenware,Thomas William,324665241
Manchester,53.4827568,-2.2464027,yes,Edwards of Manchester,324665358
Manchester,53.4829174,-2.2464186,clothes,Intro,324665947
Manchester,53.4830174,-2.2463229,chiropodist,Shuropody,324666579
Manchester,53.4833586,-2.2465922,restaurant,Cosmo,324670166
Manchester,53.4831494,-2.2466615,travel_agency,Trailfinders,324670668
Manchester,53.48295,-2.2467657,pub,Slug & Lettuce Deansgate,324671296
Manchester,53.4824695,-2.2471348,restaurant,Las Iguanas,324673692
Manchester,53.4823475,-2.2472082,locksmith,Timpson,324674079
Manchester,53.4823004,-2.2472401,hairdresser,Toni & Guy,324674340
Manchester,53.4813428,-2.2478771,outdoor,Cotswold Outdoor,324679577
Manchester,53.4811656,-2.2479833,musical_instrument,Forsyth Bros Ltd,324680205
Manchester,53.4810425,-2.2480503,outdoor,Ellis Brigham Mountain Sports,324680663
Manchester,53.4805334,-2.2484397,pub,The Lost Dene,324681908
Manchester,53.479493,-2.2490474,post_box,Unknown,324687197
Manchester,53.479613,-2.2497324,restaurant,Wagamama,324687578
Manchester,53.4786625,-2.2495294,cafe,Federal Cafe Bar,324690893
Manchester,53.4784534,-2.249691,restaurant,Flat Iron,324691503
Manchester,53.4782018,-2.2498882,convenience,Sainsbury's Local,324692101
Manchester,53.4782552,-2.2502174,cafe,Starbucks,324692418
Manchester,53.4783,-2.2504971,convenience,Tesco Express,324692527
Manchester,53.477424,-2.250313,hifi,Richer Sounds,324694812
Manchester,53.4760619,-2.2510425,post_box,Unknown,324695331
Manchester,53.4754871,-2.2501928,bar,Cloud 23,324696522
Manchester,53.4841178,-2.2560104,pub,Kings Arms,331277232
Manchester,53.4818089,-2.2447299,bank,Santander,331409737
Manchester,53.4815195,-2.2448409,locksmith,Timpson,331410194
Manchester,53.4814655,-2.2448566,vacant,Unknown,331410349
Manchester,53.4813335,-2.2448887,pub,Mr Thomas's Chop House,331410626
Manchester,53.4806978,-2.2451113,bank,The Co-operative Bank,331411190
Manchester,53.4805763,-2.2451507,beauty,The Tanning Shop,331411591
Manchester,53.4792606,-2.246043,restaurant,Slug and Lettuce,331413286
Manchester,53.4790725,-2.2460399,post_box,Unknown,331413542
Manchester,53.4789629,-2.2463227,restaurant,Red's True Barbecue,331414729
Manchester,53.4795868,-2.2461374,cafe,Shirley's Sandwiches,331485776
Manchester,53.479605,-2.2462741,fast_food,Greggs,331485807
Manchester,53.480664,-2.2478373,telephone,Unknown,331486810
Manchester,53.4791775,-2.2501179,restaurant,Nando's,331488417
Manchester,53.480371,-2.2495925,cafe,Cafe at the Rylands,334641790
